stn;time;uto200s0;gre000z0;tre200s0;ure200s0;fkl010z0;fve010z0
THU;2.02405E+11;8.5;180;13.7;71.4;0.8;0.7
THU;2.02405E+11;8.4;171;13.9;69.9;0.3;0.3
THU;2.02405E+11;8.6;136;14.1;70.9;0.3;0.2
THU;2.02405E+11;8.7;146;14.1;71.7;0.2;0.1
THU;2.02405E+11;8.8;148;14.2;72;0.3;0.2
THU;2.02405E+11;9;92;14.3;72.8;0.2;0.2
THU;2.02405E+11;9;93;14.3;73.6;0.6;0.5
THU;2.02405E+11;9;97;14.3;73.6;0.8;0.8
THU;2.02405E+11;9.3;112;14.5;74.4;0.4;0.4
THU;2.02405E+11;9.7;50;14;80.5;1;0.9
THU;2.02405E+11;10.4;47;13.3;90.6;1.5;1.5
THU;2.02405E+11;10.8;87;12.9;96;1;0.7
THU;2.02405E+11;11.2;172;13.1;98.1;1.1;1.1
THU;2.02405E+11;11.3;257;13.4;97.3;2.8;2.7
THU;2.02405E+11;10.8;215;13.2;94.3;3.6;3.5
THU;2.02405E+11;9.8;202;12.8;87.1;4.9;4.8
THU;2.02405E+11;8.7;175;12.1;80.6;7.4;7.3
THU;2.02405E+11;8.4;131;11.9;79.6;7.5;7.4
THU;2.02405E+11;8.2;158;11.9;77.2;7.3;7.3
THU;2.02405E+11;8.4;170;11.8;79.8;5.5;5.5
THU;2.02405E+11;8.4;221;11.9;79.8;4.1;4.1
THU;2.02405E+11;8.4;246;12.1;78.9;4.1;4.1
THU;2.02405E+11;8.5;291;11.9;80.7;4.2;4.1
THU;2.02405E+11;9;595;12.6;81.5;4.6;4.6
THU;2.02405E+11;8.7;270;12.6;78.6;4.7;4.5
THU;2.02405E+11;8.5;148;12.1;79.1;4.1;3.9
THU;2.02405E+11;8.4;142;11.8;79.6;3.9;3.8
THU;2.02405E+11;8.5;130;11.5;82.9;4.2;4.2
THU;2.02405E+11;8.4;76;11.4;81.9;3.3;3.3
THU;2.02405E+11;8.5;65;11.4;83;3.6;3.4
THU;2.02405E+11;8.2;46;10.9;82.7;4.7;4.7
THU;2.02405E+11;8.2;27;10.7;84.1;4.5;4.5
THU;2.02405E+11;8.3;29;10.6;85.6;4;4
THU;2.02405E+11;8.5;30;10.5;87.6;3.7;3.6
THU;2.02405E+11;8.5;47;10.5;87.8;3.3;3.3
THU;2.02405E+11;8.5;71;10.6;86.8;3.3;3.2
THU;2.02405E+11;8.4;66;10.7;85.9;3;2.9
THU;2.02405E+11;8.5;67;10.7;86.1;2.6;2.5
THU;2.02405E+11;8.5;65;10.7;87.1;3.5;3.4
THU;2.02405E+11;8.6;78;10.7;88.2;3;3
THU;2.02405E+11;8.9;96;10.6;91;1.8;1.5
THU;2.02405E+11;9.1;96;10.3;94.7;1.2;1.2
THU;2.02405E+11;9.2;100;10.3;96.9;0.7;0.7
THU;2.02405E+11;9.4;97;10.3;98.3;0.5;0.2
THU;2.02405E+11;9.4;90;10.3;98.1;0.8;0.7
THU;2.02405E+11;9.4;80;10.4;97.3;0.9;0.8
THU;2.02405E+11;9.2;82;10.4;95.8;0.8;0.7
THU;2.02405E+11;9.2;86;10.4;95.2;0.6;0.5
THU;2.02405E+11;9.5;115;10.4;98.3;0.9;0.8
THU;2.02405E+11;9.6;86;10.4;98.9;1;0.9
THU;2.02405E+11;9.6;93;10.6;98.9;1;0.7
THU;2.02405E+11;9.5;95;10.7;96.8;0.6;0.5
THU;2.02405E+11;9.6;101;10.6;99;1.1;1
THU;2.02405E+11;9.6;93;10.5;99.2;0.8;0.7
THU;2.02405E+11;9.5;92;10.6;97.7;0.4;0.3
THU;2.02405E+11;9.5;84;10.5;97.4;0.9;0.9
THU;2.02405E+11;9.4;69;10.4;97.5;0.8;0.8
THU;2.02405E+11;8.7;49;10.2;91.9;1.2;1.2
THU;2.02405E+11;8.7;47;9.9;93.7;1.3;1.2
THU;2.02405E+11;8.7;36;9.8;94.4;1.1;1.1
THU;2.02405E+11;8.9;18;9.6;97.5;1.4;1.3
THU;2.02405E+11;8.7;14;9.6;94.8;0.9;0.7
THU;2.02405E+11;8.3;12;9.6;90.1;0.9;0.5
THU;2.02405E+11;8.4;10;9.3;93.5;1.6;1.6
THU;2.02405E+11;8.5;6;9.1;95.7;1.9;1.9
THU;2.02405E+11;8.3;1;9;94;2.1;2.1
THU;2.02405E+11;8.1;0;8.9;93.4;1.9;1.9
THU;2.02405E+11;8.3;0;8.7;96.4;1.4;0.8
THU;2.02405E+11;8.5;0;8.6;99;1.6;1.6
THU;2.02405E+11;8.4;0;8.6;97.7;1.4;1.4
THU;2.02405E+11;8.5;0;8.7;97.8;0.9;0.8
THU;2.02405E+11;8.4;0;8.5;98.6;0.7;0.7
THU;2.02405E+11;8.4;0;8.4;99.2;0.8;0.8
THU;2.02405E+11;8.2;0;8.1;99.3;1;1
THU;2.02405E+11;8.2;0;8.1;99.3;0.7;0.7
THU;2.02405E+11;8.3;0;8.2;99.3;0.8;0.6
THU;2.02405E+11;8.4;0;8.4;99.3;0.6;0.6
THU;2.02405E+11;8.4;0;8.3;99.3;0.3;0.3
THU;2.02405E+11;8.4;0;8.3;99.3;0.6;0.3
